name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
DynamicStackedModelExample,private,8,4,4,68,5,4,12,3,3,false,false,4,false,false,8,32,1,true
GLMAbstractExportingAction,private,4,2,2,27,1,0,6,0,0,false,true,4,false,false,3,5,1,false
GLMAbstractSetContextAction,private,5,0,0,19,0,0,5,0,0,false,true,5,false,false,2,3,0,false
GLMAddLabelAction,private,3,0,0,22,0,0,3,0,0,false,false,4,false,false,6,15,1,true
GLMAddScrollbarAction,private,3,0,0,12,0,0,3,0,0,false,false,4,false,false,3,1,0,true
GLMBoxZoomAction,private,3,0,0,13,0,0,3,0,0,false,false,4,false,false,3,2,0,true
GLMCameraCenterAction,public,4,0,0,14,0,0,4,0,0,false,false,4,false,false,3,2,0,true
GLMCameraCenterActionTest,private,0,1,1,11,0,0,1,0,0,false,false,5,false,false,4,3,0,true
GLMEmptyContextAction,private,1,0,0,7,0,0,1,0,0,false,false,4,false,false,3,0,0,true
GLMFindInViewAction,private,4,0,0,16,0,0,4,0,0,false,false,5,false,false,5,7,0,true
GLMHTMLExporting2Action,private,3,0,0,14,1,0,3,0,0,false,false,4,false,false,3,6,0,true
GLMHTMLExportingAction,private,3,1,1,28,1,0,4,0,0,false,false,3,false,false,3,7,0,true
GLMHTMLExportingWithoutFixedShapesAction,private,3,0,0,15,1,0,3,0,0,false,false,6,false,false,3,7,0,true
GLMInspectViewAction,private,2,0,0,9,0,0,2,0,0,false,false,4,false,false,2,0,0,true
GLMInteractiveContextAction,private,1,0,0,7,0,0,1,0,0,false,false,4,false,false,3,0,0,true
GLMMorphicRoassal2Renderer,public,1,1,1,20,2,1,2,0,0,false,false,5,true,false,3,12,0,true
GLMPNGExporting2Action,private,3,0,0,16,1,0,3,0,0,false,false,4,false,false,3,6,0,true
GLMPNGExportingAction,private,3,0,0,16,1,0,3,0,0,false,false,3,false,false,3,5,0,true
GLMRoassal2Action,public,12,1,2,50,3,1,14,1,1,false,false,4,false,false,3,12,1,true
GLMRoassal2ActionTest,private,0,1,1,11,0,0,1,0,0,false,false,5,false,false,4,5,0,true
GLMRoassal2MorphicTest,private,0,10,10,88,0,0,10,0,0,false,false,5,false,false,14,77,0,true
GLMRoassal2Presentation,public,10,7,7,80,13,5,17,3,2,false,false,4,false,false,6,15,0,true
GLMSVGExportingAction,private,3,0,0,15,1,0,3,0,0,false,false,3,false,false,3,2,0,true
GLMSelectionBox,private,3,0,0,13,0,0,3,0,0,false,false,3,false,false,3,2,0,true
GLMZoomInAction,private,4,0,0,13,0,0,4,0,0,false,false,4,false,false,4,2,0,true
GLMZoomOutAction,private,4,0,0,13,0,0,4,0,0,false,false,4,false,false,4,2,0,true
MorphicRoassalAdapter,private,4,3,3,49,1,2,7,1,0,false,false,3,true,false,3,13,0,true
RTAIPackageslugin,private,4,0,0,29,0,0,4,0,0,false,false,2,false,false,4,8,0,true
RTAMItem,public,14,0,0,39,6,6,14,6,5,false,false,2,false,false,4,4,0,true
RTAMItemTest,private,1,1,1,16,0,1,2,0,0,false,false,3,false,false,3,8,0,true
RTAbout,private,2,1,1,55,2,0,3,0,0,false,false,2,false,false,14,46,0,true
RTAbstractArrow,private,0,0,0,5,0,0,0,0,0,false,true,3,false,false,1,0,0,false
RTAbstractArrowedLine,private,10,0,0,30,5,1,10,1,1,false,true,4,false,false,4,2,0,false
RTAbstractAverageDecorator,private,11,1,1,56,11,4,12,0,1,false,true,4,true,false,4,10,1,false
RTAbstractBuilder,private,0,0,0,5,0,0,0,0,0,false,true,3,true,false,1,0,0,false
RTAbstractCircle,private,0,0,0,5,0,0,0,0,0,false,true,3,false,false,1,0,0,false
RTAbstractCircleLayout,public,6,7,10,64,9,4,16,3,3,false,true,4,false,false,4,14,2,false
RTAbstractCompactTree,private,10,4,10,175,26,4,20,0,2,false,true,4,false,false,5,44,15,false
RTAbstractContextInteraction,private,2,0,0,9,1,1,2,1,1,false,true,4,false,false,2,0,0,false
RTAbstractDSM,private,32,21,22,234,23,14,54,10,9,false,true,3,false,false,16,82,3,false
RTAbstractData,public,40,10,11,274,26,13,51,8,8,false,true,3,false,false,14,85,2,false
RTAbstractDataSet,public,39,0,1,205,23,14,40,7,8,false,true,4,false,false,9,69,5,false
RTAbstractDiamond,private,0,0,0,5,0,0,0,0,0,false,true,3,false,false,1,0,0,false
RTAbstractDraggable,public,6,0,0,28,5,1,6,1,1,false,true,3,false,false,5,11,1,false
RTAbstractDraggableView,private,0,0,0,5,0,0,0,0,0,false,true,4,false,false,1,0,0,false
RTAbstractElasticBoxInteraction,private,9,10,14,142,14,8,23,5,3,false,true,5,false,false,15,57,5,false
RTAbstractElasticBoxInteractionTest,private,0,2,2,49,0,0,2,0,0,false,true,6,false,false,9,30,0,false
RTAbstractElementHandling,private,4,0,1,16,3,2,5,2,2,false,true,4,false,false,2,0,0,false
RTAbstractElementShape,public,22,1,1,64,15,4,23,4,0,false,true,4,false,false,2,6,0,false
RTAbstractExample,public,12,3,3,194,8,0,15,0,0,false,true,3,false,false,29,130,2,false
RTAbstractFlowLayout,private,12,3,4,57,5,3,16,2,2,false,true,4,false,false,3,14,1,false
